,,,,Experiment_ID,,Date,,,Plate_ID,,,,Scan_ID,,Cell_Line,,Time,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_01,,,,10296,,A375,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_02,,,,10298,,CFPAC-1,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_03,,,,10313,,FADU,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_04,,,,10315,,HCC1937,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_05,,,,10323,,HT-29,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_06,,,,10325,,KYSE-150,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_07,,,,10327,,MEWO,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_08,,,,10351,,AsPC-1,,1 day,,,,,,
,,,,20200908_AL,,20200908,,,20200908_AL_09,,,,10352,,DLD-1,,1 day,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,variable,factor,,,,,,,,,,,,,,,,,,,,
,,drug,ID,,,,,,,,,,,,,,,,,,,,
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MG132,MG132,Camptothecin,Camptothecin,Bafilomycin A1,Bafilomycin A1,Thapsigargin,Thapsigargin,Tunicamycin,Tunicamycin,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MG132,MG132,Camptothecin,Camptothecin,Bafilomycin A1,Bafilomycin A1,Thapsigargin,Thapsigargin,Tunicamycin,Tunicamycin,NULL,NULL
