,,,,Experiment_ID,,Date,,,Plate_ID,,Drug_ID,,Drug_conc,,Drug_unit,,Drug_control,,,,,,
,,,,20201130_AL,,20201130,,,20201130_AL_01,,Drug_ID_A,,Drug_conc_A,,Drug_unit_A,,Drug_control_A,,,,,,
,,,,20201130_AL,,20201130,,,20201130_AL_02,,Drug_ID_B,,Drug_conc_B,,Drug_unit_B,,Drug_control_B,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,Cell_Line,ID,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh0,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2,CT26sh2
