e.Experiment_ID	e.Date	p.Plate_ID	p.Plate_No	p.Cell_Line_ID	p.Drug_ID	w.Plate_Row	w.Plate_Col	w.Well_ID	w.Well_No
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	A	1	A01	1
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	B	1	B01	2
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	C	1	C01	3
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	D	1	D01	4
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	E	1	E01	5
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	F	1	F01	6
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	G	1	G01	7
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	H	1	H01	8
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	I	1	I01	9
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	J	1	J01	10
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	K	1	K01	11
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	L	1	L01	12
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	M	1	M01	13
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	N	1	N01	14
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	O	1	O01	15
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	P	1	P01	16
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	A	2	A02	17
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	B	2	B02	18
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	C	2	C02	19
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	D	2	D02	20
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	E	2	E02	21
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	F	2	F02	22
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	G	2	G02	23
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	H	2	H02	24
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	I	2	I02	25
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	J	2	J02	26
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	K	2	K02	27
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	L	2	L02	28
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	M	2	M02	29
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	N	2	N02	30
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	O	2	O02	31
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	P	2	P02	32
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	A	3	A03	33
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	B	3	B03	34
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	C	3	C03	35
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	D	3	D03	36
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	E	3	E03	37
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	F	3	F03	38
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	G	3	G03	39
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	H	3	H03	40
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	I	3	I03	41
20210101_MN	20210110	20210101_MN_01	1	A375	RBN-001	J	3	J03	42
