Experiment_ID	Plate_ID.x	Plate_No	Plate_Row	Plate_Col	Well_ID	Well_No	Date	Time	Scan_ID	Cell_Line	drug_ID	drug_conc	drug_conc_top	Cell_ID	Plate_ID.y	Well_Y	Well_X	MEASUREMENT_SET_ID	Cell_No	Fraction_W2	Fraction_W3
20200908_AL	20200908_AL_01	1	A	1	A01	1	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	B	1	B01	2	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	C	1	C01	3	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	D	1	D01	4	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	E	1	E01	5	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	F	1	F01	6	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	G	1	G01	7	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	H	1	H01	8	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	I	1	I01	9	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	J	1	J01	10	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	K	1	K01	11	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	L	1	L01	12	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	M	1	M01	13	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	N	1	N01	14	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	O	1	O01	15	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	P	1	P01	16	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	A	2	A02	17	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	B	2	B02	18	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	C	2	C02	19	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	D	2	D02	20	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	E	2	E02	21	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	F	2	F02	22	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	G	2	G02	23	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	H	2	H02	24	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	I	2	I02	25	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	J	2	J02	26	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	K	2	K02	27	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	L	2	L02	28	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	M	2	M02	29	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	N	2	N02	30	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	O	2	O02	31	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	P	2	P02	32	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	A	3	A03	33	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	B	3	B03	34	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	C	3	C03	35	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	D	3	D03	36	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
20200908_AL	20200908_AL_01	1	E	3	E03	37	20200908	1 day	10296	A375	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA
