Cell ID	Plate ID	Well Y	Well X	MEASUREMENT SET ID	Total Cells (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Scan_ID	Well_ID
10296_90476_90476_0	10296	3	13	20177	168	92.261902000000006	100	10296	C13
10296_90477_90477_0	10296	4	13	20177	839	96.424316000000005	98.927291999999895	10296	D13
10296_90478_90478_0	10296	5	13	20177	3686	50.135646999999899	98.507866000000007	10296	E13
10296_90479_90479_0	10296	6	13	20177	4494	5.6074770000000003	93.902985000000001	10296	F13
10296_90480_90480_0	10296	7	13	20177	5089	4.4016500000000001	90.744743	10296	G13
10296_90481_90481_0	10296	8	13	20177	5163	8.3284909999999908	95.235328999999894	10296	H13
10296_90482_90482_0	10296	9	13	20177	2563	8.0374569999999892	98.088181000000006	10296	I13
10296_90483_90483_0	10296	10	13	20177	1579	7.6630779999999898	98.226723000000007	10296	J13
10296_90484_90484_0	10296	11	13	20177	2168	6.826568	98.985236999999898	10296	K13
10296_90485_90485_0	10296	12	13	20177	2257	8.7727070000000005	98.404961	10296	L13
10296_90486_90486_0	10296	13	13	20177	5001	5.1389719999999901	93.841232000000005	10296	M13
10296_90487_90487_0	10296	14	13	20177	5100	9.4705890000000004	95.803925000000007	10296	N13
10296_90499_90499_0	10296	3	14	20177	215	96.279067999999896	99.534881999999897	10296	C14
10296_90498_90498_0	10296	4	14	20177	1114	94.973067999999898	97.935371000000004	10296	D14
10296_90497_90497_0	10296	5	14	20177	3860	45.595855999999898	98.549225000000007	10296	E14
10296_90496_90496_0	10296	6	14	20177	3734	1.44617	89.314407000000003	10296	F14
10296_90495_90495_0	10296	7	14	20177	3986	3.9889610000000002	89.663826	10296	G14
10296_90494_90494_0	10296	8	14	20177	4781	5.0617029999999898	93.495086999999899	10296	H14
10296_90493_90493_0	10296	9	14	20177	1252	3.0351439999999901	94.568686999999898	10296	I14
10296_90492_90492_0	10296	10	14	20177	1917	5.1643189999999901	98.017737999999895	10296	J14
10296_90491_90491_0	10296	11	14	20177	1819	8.1913140000000002	99.4502489999999	10296	K14
10296_90490_90490_0	10296	12	14	20177	2695	6.19666099999999	97.513915999999895	10296	L14
10296_90489_90489_0	10296	13	14	20177	3963	4.2139790000000001	90.941208000000003	10296	M14
10296_90488_90488_0	10296	14	14	20177	5447	5.7095649999999898	94.565819000000005	10296	N14
10296_90500_90500_0	10296	3	15	20177	1294	1.081917	88.485313000000005	10296	C15
10296_90501_90501_0	10296	4	15	20177	200	6.5	100	10296	D15
10296_90502_90502_0	10296	5	15	20177	1902	9.5688750000000002	89.905365000000003	10296	E15
10296_90503_90503_0	10296	6	15	20177	1874	4.1088579999999899	84.098183000000006	10296	F15
10296_90504_90504_0	10296	7	15	20177	4360	4.4266059999999898	83.463302999999897	10296	G15
10296_90505_90505_0	10296	8	15	20177	4313	4.3589149999999899	91.444473000000002	10296	H15
10296_90506_90506_0	10296	9	15	20177	78	28.205127999999899	97.435897999999895	10296	I15
10296_90507_90507_0	10296	10	15	20177	54	24.074074	94.444443000000007	10296	J15
10296_90508_90508_0	10296	11	15	20177	361	39.3351779999999	100	10296	K15
10296_90509_90509_0	10296	12	15	20177	59	32.203387999999897	100	10296	L15
10296_90510_90510_0	10296	13	15	20177	4680	7.4786320000000002	93.824782999999897	10296	M15
10296_90511_90511_0	10296	14	15	20177	5395	7.45134399999999	96.107506000000001	10296	N15
10296_90523_90523_0	10296	3	16	20177	993	0.80564000000000002	89.526687999999893	10296	C16
10296_90522_90522_0	10296	4	16	20177	282	4.9645390000000003	100	10296	D16
10296_90521_90521_0	10296	5	16	20177	1831	17.094484000000001	96.067725999999894	10296	E16
10296_90520_90520_0	10296	6	16	20177	2480	11.4112899999999	90.201614000000006	10296	F16
