Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	Calculated.results..Calc.1..Crosstalk...Crosstalk.correction.where.Label...Glo.US.LUM.384..cps..1..channel.1	Results.for.Glo.US.LUM.384..cps..1....channel.0..CPS.	NA.
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	1	1	A01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	1	2	B01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	1	3	C01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	1	4	D01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	1	5	E01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	1	6	F01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	1	7	G01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	1	8	H01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	1	9	I01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	1	10	J01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	1	11	K01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	1	12	L01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	1	13	M01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	1	14	N01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	1	15	O01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	1	16	P01	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	2	17	A02	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	2	18	B02	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	2	19	C02	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	2	20	D02	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	2	21	E02	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	2	22	F02	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	2	23	G02	1080	1080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	2	24	H02	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	2	25	I02	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	2	26	J02	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	2	27	K02	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	2	28	L02	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	2	29	M02	520	520	-
