,,,,Experiment_ID,,Date,,,Plate_ID,,Drug_ID,,Drug_conc,,Drug_unit,,Drug_control,,,,,,
,,,,20210125_BG,,20200120,,,P14-006,,RBN012759,,1,,uM,,DMSO,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,Cell_Line,ID,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
None,None,None,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,H1373-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,CFPAC1-Cas9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
