corner,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Experiment_ID,Date,Plate_ID,Plate Code,,Plate Description,,,,Scan_ID,,Cell_Line,Time,,,,,,,
,,,,Bin_G_IFN,20201207,Plate1,Plate-H3-1,,H1373 treated with IFN for 1 d,,,,10370,,H1373,1 day,,,,,,,
,,,,Bin_G_IFN,20201207,Plate2,Plate-H3-8,,H1373 treated with IFN for 8 d,,,,10372,,H1373,8 days,,,,,,,
,,,,Bin_G_IFN,20201207,Plate3,Plate-H3-15,,H1373 treated with IFN for 15 d,,,,10375,,H1373,15 days,,,,,,,
,,,,Bin_G_IFN,20201207,Plate4,Plate-A5-1,,A375 treated with IFN for 1 d,,,,10368,,A375,1 day,,,,,,,
,,,,Bin_G_IFN,20201207,Plate5,Plate-A5-8,,A375 treated with IFN for 8 d,,,,10371,,A375,8 days,,,,,,,
,,,,Bin_G_IFN,20201207,Plate6,Plate-A5-15,,A375 treated with IFN for 15 d,,,,10373,,A375,15 days,,,,,,,
,,,,Bin_G_IFN,20201207,Plate7,Plate-C1-1,,CFPAC1 treated with IFN for 1 d,,,,10369,,CFPAC1,1 day,,,,,,,
,,,,Bin_G_IFN,20201207,Plate8,Plate-C15-8,,CFPAC1 treated with IFN for 15 d,,,,10374,,CFPAC1,15 days,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,variable,factor,,,,,,,,,,,,,,,,,,,,
,,drug,ID,,,,,,,,,,,,,,,,,,,,
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
