Plate ID	Well Name	MEASUREMENT SET ID	Cell: W2 Nucleus Average Intensity (MultiWaveScoring)	Cell: W2 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W2 Cell Average Intensity (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	Cell: W3 Nucleus Average Intensity (MultiWaveScoring)	Cell: W3 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W3 Cell Average Intensity (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Total Cells (MultiWaveScoring)	Cell.line	Timepoint
10368	C13	20277	1427.675991	1804.189066	1616.264271	99.134361	1427.675991	1804.189066	1616.264271	10.274746	2657	A375	Day01
10368	C14	20277	1221.191773	1612.565542	1403.839021	98.49192	1221.191773	1612.565542	1403.839021	5.88869	2785	A375	Day01
10368	C15	20277	1217.427694	1643.230372	1416.516436	98.605301	1217.427694	1643.230372	1416.516436	6.834031	2868	A375	Day01
10368	C16	20277	1264.89084	1172.844961	1265.973484	83.564812	1264.89084	1172.844961	1265.973484	0	1728	A375	Day01
10368	C17	20277	1389.335524	1781.592014	1579.023582	98.640846	1389.335524	1781.592014	1579.023582	6.286103	2943	A375	Day01
10368	C18	20277	6491.578774	7048.000998	6785.399412	100	6491.578774	7048.000998	6785.399412	99.699158	3324	A375	Day01
10368	C19	20277	6932.529368	7566.373681	7260.347197	100	6932.529368	7566.373681	7260.347197	99.908981	3296	A375	Day01
10368	C20	20277	6474.65635	6881.285879	6674.711406	100	6474.65635	6881.285879	6674.711406	99.775063	3112	A375	Day01
10368	C21	20277	6174.59431	6884.569349	6589.145517	99.964737	6174.59431	6884.569349	6589.145517	99.717911	2836	A375	Day01
10368	C22	20277	6259.897796	7092.034993	6729.650584	99.96566	6259.897796	7092.034993	6729.650584	99.656593	2912	A375	Day01
10368	D13	20277	1145.594836	1533.916623	1320.928778	98.080688	1145.594836	1533.916623	1320.928778	3.407756	2553	A375	Day01
10368	D14	20277	1028.676289	1415.263396	1201.384105	97.050728	1028.676289	1415.263396	1201.384105	1.926858	2543	A375	Day01
10368	D15	20277	1341.76874	1703.56942	1513.228232	98.330864	1341.76874	1703.56942	1513.228232	5.118694	2696	A375	Day01
10368	D16	20277	1242.500003	1232.518605	1255.142423	91.855446	1242.500003	1232.518605	1255.142423	0.107875	1854	A375	Day01
10368	D17	20277	1383.315923	1786.593866	1567.431252	98.495209	1383.315923	1786.593866	1567.431252	4.206566	2924	A375	Day01
10368	D18	20277	5135.205498	4339.803125	4586.624248	100	5135.205498	4339.803125	4586.624248	91.290726	1596	A375	Day01
10368	D19	20277	6637.754233	7058.111697	6854.093751	100	6637.754233	7058.111697	6854.093751	99.842422	3173	A375	Day01
10368	D20	20277	6279.754709	5398.398619	5738.251589	100	6279.754709	5398.398619	5738.251589	98.342545	1810	A375	Day01
10368	D21	20277	6258.342336	6772.344264	6533.575331	99.966431	6258.342336	6772.344264	6533.575331	99.664314	2979	A375	Day01
10368	D22	20277	6209.01111	6187.853684	6157.791793	99.961571	6209.01111	6187.853684	6157.791793	99.846275	2602	A375	Day01
10368	E13	20277	1198.921855	1528.394411	1343.58089	97.550865	1198.921855	1528.394411	1343.58089	1.733233	2654	A375	Day01
10368	E14	20277	1032.840055	1364.852215	1172.71851	96.65139	1032.840055	1364.852215	1172.71851	1.621431	2837	A375	Day01
10368	E15	20277	1233.660917	1574.831453	1380.908631	97.299294	1233.660917	1574.831453	1380.908631	1.923788	2703	A375	Day01
10368	E16	20277	1062.926565	1001.925454	1070.976328	83.678032	1062.926565	1001.925454	1070.976328	0	1789	A375	Day01
10368	E17	20277	1247.53088	1612.201251	1405.545775	98.314995	1247.53088	1612.201251	1405.545775	1.616231	2908	A375	Day01
10368	E18	20277	5942.714348	5519.413685	5642.070838	100	5942.714348	5519.413685	5642.070838	99.657768	2922	A375	Day01
10368	E19	20277	6078.579601	5362.318404	5614.79256	99.875412	6078.579601	5362.318404	5614.79256	99.335548	2408	A375	Day01
10368	E20	20277	5434.454068	4658.483645	4962.139739	100	5434.454068	4658.483645	4962.139739	97.202126	2073	A375	Day01
10368	E21	20277	5787.413562	5142.908073	5373.92932	99.866959	5787.413562	5142.908073	5373.92932	98.980042	2255	A375	Day01
10368	E22	20277	6285.910881	6730.073708	6517.543822	99.964478	6285.910881	6730.073708	6517.543822	99.786858	2815	A375	Day01
10368	F13	20277	1071.330896	1365.951944	1188.426689	90.521149	1071.330896	1365.951944	1188.426689	0.302115	2648	A375	Day01
10368	F14	20277	864.6951512	1228.925026	994.3931773	89.971649	864.6951512	1228.925026	994.3931773	0.318923	2822	A375	Day01
10368	F15	20277	1244.803832	1345.737114	1301.754954	85.935143	1244.803832	1345.737114	1301.754954	7.54E-02	2652	A375	Day01
10368	F16	20277	961.2083453	666.7188613	973.434666	53.467049	961.2083453	666.7188613	973.434666	0	1745	A375	Day01
10368	F17	20277	1145.326497	1500.135957	1280.353843	94.040604	1145.326497	1500.135957	1280.353843	0.229208	3054	A375	Day01
10368	F18	20277	4688.461085	5023.43657	4879.05846	100	4688.461085	5023.43657	4879.05846	99.287239	2806	A375	Day01
10368	F19	20277	4485.517401	3954.777483	4157.459581	100	4485.517401	3954.777483	4157.459581	82.369804	2093	A375	Day01
10368	F20	20277	4140.710532	4492.854793	4340.015986	100	4140.710532	4492.854793	4340.015986	97.179749	2943	A375	Day01
10368	F21	20277	4897.206087	5114.379231	5006.789947	99.961731	4897.206087	5114.379231	5006.789947	98.430923	2613	A375	Day01
10368	F22	20277	5091.660626	5089.664351	5056.84161	100	5091.660626	5089.664351	5056.84161	98.897583	2812	A375	Day01
10368	G13	20277	950.0443968	847.9679008	986.9856548	55.700577	950.0443968	847.9679008	986.9856548	0	2605	A375	Day01
10368	G14	20277	861.3734234	1068.902389	934.2022348	66.922516	861.3734234	1068.902389	934.2022348	3.65E-02	2736	A375	Day01
10368	G15	20277	1000.930644	892.4394694	1035.592584	55.81982	1000.930644	892.4394694	1035.592584	0	2775	A375	Day01
10368	G16	20277	869.0570883	453.2179041	879.2386994	33.736019	869.0570883	453.2179041	879.2386994	4.47E-02	2235	A375	Day01
10368	G17	20277	1013.652643	64.2112667	1013.766788	3.118279	1013.652643	64.2112667	1013.766788	5.38E-02	1860	A375	Day01
10368	G18	20277	3502.768341	3125.83416	3275.589028	99.895401	3502.768341	3125.83416	3275.589028	44.037659	1912	A375	Day01
10368	G19	20277	3357.94355	3086.821433	3189.649349	99.915039	3357.94355	3086.821433	3189.649349	42.778252	2354	A375	Day01
10368	G20	20277	3072.401395	2716.715735	2859.081303	99.94577	3072.401395	2716.715735	2859.081303	35.900215	1844	A375	Day01
10368	G21	20277	3324.953675	3597.581661	3481.988259	100	3324.953675	3597.581661	3481.988259	85.776649	2749	A375	Day01
10368	G22	20277	4162.115439	4480.916558	4333.347596	100	4162.115439	4480.916558	4333.347596	95.535416	2979	A375	Day01
10368	H13	20277	712.3342348	787.3053419	758.9925776	45.17691	712.3342348	787.3053419	758.9925776	0	2685	A375	Day01
